inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
1NDtXM2SZP8SJvGscSc327YPLvS2a4PgFG,1C1U19RbF46rN58Kv6Wy8MqapKnf9XTD3e,1AeeogCiMRqZ5q6BJthDGgRCzTfgvUqYSt,4.02288576,1.81292419,2.20951287,1.218756350755075 : 1,2017-07-11 17:29:21,44870,P2PKH
17TroTGkxiCQniuqCyFdZ7a3ghX4HUsyvS,15MwVBpW2XtUjnheBPWQgGRpKvhoAmdEUp,1HkxZeEQRBAS46hticcDUGitDTAZthnQHG,2.81145951,0.1280993,2.68263542,20.94184292966472 : 1,2017-07-03 20:15:39,72479,P2PKH
15K4moYJgnsxKiRdgDNgkbe5doHrhsfwFG,15Qj9Q8P99VtTXN4LTq4zkN9GkDcUTn7ux,18xZkrxuj51vDRTHxtnLVqUZhxnZDE1RfQ,0.18369729,0.04985908,0.13320541,2.6716379443824474 : 1,2017-08-09 09:00:47,63280,P2PKH
39JXaTYNnaMHjyxNZCr6a3GLkqJ3bEBif3,17XA6BHRGQxfzbtX8pUX6GhxU5g1gCpciD,3BGDM7CZGpYV3mHzHgFgsN36YnWzLdnvud,0.24806854,0.143935,0.1036436,1.3887495224017692 : 1,2017-09-21 23:07:19,48994,P2SH
1KeW5uFMgazaasWv9i98pW3JzvH5Eqg87H,14XGbSya4rKYiDaBiccfN3Wfy4pypNxRuv,1Bez5TY8PUVzDcKZqJ7caCoD33tKtHH1bP,4.00389179,1.81482844,2.18840134,1.2058447464047897 : 1,2017-07-08 18:53:51,66201,P2PKH
1KrQYx5g6cAHQAMqhu7osdRHVBphn4R5nf,17MwsJ3pbBgcCLxMquN8QyAbPAfiYwoBJ5,1K8eMwshppc4KDby22gJvQUwmQ6bNTgyzo,4.98325626,1.19687671,3.7859723,3.1632099349648137 : 1,2017-07-18 09:52:34,40725,P2PKH
17Qj9JmG4uPF2uzN1GkVeMCXdjyCAXZUMf,1JLgcsztHvgJEZmaXRhcmEKRvTbKaJvdsR,15pquE1abggwLfbPixBvCTYXRfX8t9n9nq,3.87,3.0,0.86959191,3.449894100325749 : 1,2017-07-22 20:44:04,40809,P2PKH
1AJCRkq4b8cZLp1oMTPu8eJMJT1Sa29JhV,1B4k3ngYK3j5EST449xgZTW9L78BKqcSYR,15nKw6JYkUBFymbcvXZRR8NJynXJobrLWb,0.79301198,0.05899798,0.73356513,12.433732985434418 : 1,2017-07-10 20:51:43,44887,P2PKH
14BkpACYhrvsZYPxkAZ7SkdQsHuxJQWmUk,3J4hpXEuEEJwq7APgYZnXAxazjxsWQubup,126YWt9va8eQ8fuaJfUAzWbARvESDZgEa6,1.13554226,0.34,0.79498226,2.3381831176470587 : 1,2017-08-18 17:17:01,56000,P2PKH
1Q25UE7eBdNQNQE2EVQyQaeYa5aRUmoCN1,1GjyoNvEH9eCNmMRGu93XtPBiQzUhM6uoX,335iq3rLK9fgRZSLFGEYLNSmKseUL9Zqug,0.39388998,0.17129118,0.22200341,1.2960586178459395 : 1,2017-07-09 10:55:22,59539,P2PKH
15qiu5u1TDWcyDjQTeGQ8nv5mW3RJStjXi,1LEJHkbhCkWbbtxTjD6ZxHNb6CxbYUHKJE,1FR6LnC3XoaikvWesnfQtaAuuxeXmfgWdj,223.68205909,223.67762388,0.00375721,59532.904437068995 : 1,2017-09-03 18:21:04,67800,P2PKH
1LYMvmEynUR685njmSG8HGB4MX3JFNaX8,125qrpxKGj5w1pmBc67917RdTEJuaZYaiL,15wdTetsNhLKCiroeAyUZdWp96EEMHQUQL,2.44889746,1.09996517,1.34825429,1.225724529077589 : 1,2017-08-28 05:11:43,67800,P2PKH
15oZLCJ3y1wsFBTyyKZuR2pgG1VWeBcqiH,16oiZyAZcBNHk35oFdscAA84zzuZ9KemkQ,1MiR9uZWEuPK7vHWoBUaw59kFTK4LST2wK,1.86421861,0.20263953,1.66103533,8.19699557139715 : 1,2017-07-13 14:13:51,54375,P2PKH
169rVQVdeSjF9urCjYTmt1aZr6DsjYagHj,32RdUwBQHL996rMfTxYYxecqVoZ2JnEVUs,13vAz6A5yAtnB3eULAEELGnDtjJNocy2B1,1.86119067,0.49569,1.364782,2.753297423793096 : 1,2017-07-02 18:29:50,71867,P2PKH
1LABwuafbMBR2JCFW8bSkjDZw751TvBBnh,1LkwM274gUkKWuJvW2NBvUYwtvjjaBFSXH,18eVSh1c2ZB4uk8H6CZh69N6EZQ5xBvJo7,419.44149723,1.9995,417.44143223,208.77290934233557 : 1,2017-08-17 05:50:16,56500,P2PKH
17G3Csv3YCo7UYFXQSS6t7V9DRSmk7Yi6V,19z7br5NzYKjGuzJ8vG9P7SRq8vT3AiurM,16rGZ373JwJT18C13z4D5g3nEU5mS1Xeum,3.92798691,1.21719288,2.71034472,2.226717527299371 : 1,2017-07-24 17:42:22,44931,P2PKH
1CTNgU9YGAqFa8J2fYoQepmZGMRRWejUck,3CzrsusySX7WhTRYDHsJ8Le6PdFVPRk9M1,1DFGAR3w3rk1FMjankhecKZMq1uw2uF5dF,3.94801712,0.83896567,3.10833218,3.7049575341980323 : 1,2017-07-08 02:18:39,71927,P2PKH
1TfbtsVx7KLU5HCUNFM2cELPgVuTV1Wa2,12kFvcSX6x8JWya3WiwLJnUe4bKPJAcTCh,16dpRMDPev4zp7HRH9juGG8R3r1zZSchK3,1.90086765,0.45525082,1.44507208,3.174232788861314 : 1,2017-07-13 19:37:52,54475,P2PKH
13JwWWnknYG7YDR9KaFoTASU74L9CMwvUJ,1E6k5re2bjmawFbzDKUqeHFcA5PU2i1mm1,15wpE6WPcKWCVJNviErzD3W7YaZ3asrt2g,3.89258036,0.2665112,3.62527122,13.602697447611957 : 1,2017-07-07 16:14:31,79794,P2PKH
1AABsVPPRHH7CZ1SKa56xwG2BrdNZ3FMoE,1uzWkZKhix3xiAnXDBJVfkve16cTtN9r5,125CY8WUQTXY5w47iMuu3SBBNfaHxiUsrR,438.09897528,438.0088394,0.08957088,4890.080787416624 : 1,2017-08-08 14:15:54,56500,P2PKH
151cDuPNS6RSYN66tsKKDkDaxo7CTGApty,17ZRwczcVPkL1aHtsDeTvvibdJT9Vf7gcb,1HKKqXJPaB6iDJTxKp3HLbGy3qhPBwMx9c,2.32208927,0.82995994,1.49171929,1.7973389052970437 : 1,2017-07-17 12:14:29,41004,P2PKH
1FAVNS8SE9KxVbU9713pHqSXGUWWoxoNmL,18twdjRia5FXxUFSSrJTHjcudt3Gfxkzzr,17xKXttmvSg9cWyQkL1NpVGfccPPg6vYry,4.64723279,0.44396269,4.20277551,9.466506093113367 : 1,2017-07-19 18:57:24,49459,P2PKH
1M9qgMcvNEcGCQrmdwqSP6F6CNSTc2Vt2n,1JwGgec4XniagfDvzXZdEat3YBYkFkjcWZ,12mQa9hPTiGqsLpveovzkstcUMh48gv6f3,1.93502093,0.21103012,1.72381748,8.168585034212178 : 1,2017-07-07 03:06:12,17333,P2PKH
1E6Xuv7B9a2bWJ91QSocw5WQqpEzLVzZc3,1D178VoAvf3rcuNHWiWNQ7ZJx825JgrnDm,14ubhgP4TWooxxDLrfJPvEEpm4GeJoVXEw,0.17807897,0.05729392,0.12022005,2.098303799076761 : 1,2017-08-13 18:40:35,56500,P2PKH
12Zmz4af3dgVo8vz4bUmwXQoATqd42ogmR,1Lzuh9BDUzPztnutvSpVZdhvfq43Qi4mUW,36MqGti3gKz3JLx3VzMwkYsYSmP3FSC7Wo,1.88048475,0.837444,1.04244393,1.2447924040294036 : 1,2017-07-13 13:05:29,59682,P2PKH
12dCuA5vR7KpCNoXd2EyKRsDeXs4n5X6MC,1MnTNzsuyuczEcLZUbLoSjNZC8EbYBfAox,1CcQJxYkJaKxAoRo1D3TGUDKhh9W2kpywf,0.49752482,0.18922054,0.30776017,1.626462803668143 : 1,2017-07-16 19:23:13,54411,P2PKH
17FrMpoaCGjL899dLqSCQCPwywDa3Y2fRm,16ktjn27C3D9Lk5f62zqiEHg9QoGVhbu6U,176QqMZzqFHaeoCJgMiLRE1VhUyGs5Vvaj,0.75577184,0.61162219,0.14324565,4.269743548931503 : 1,2017-09-07 09:10:46,90400,P2PKH
1GFZLsV35hWFTJWTrMeVHFZ4tyta5ya9sf,1GMsuHqpbqvi5WqBu5WDTc7XF2jm16sYKT,1MHTsSu2X8zFHzsrnCBgDJMaAjvyTDTbBQ,4.41462623,1.9995,2.41445123,1.2075274968742185 : 1,2017-07-15 01:07:00,67500,P2PKH
192bjVV1QCviG3wv1mX929niAhaQMxAkq6,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,199EaFPz8hAoqhDTPykVS5kRb4qMqfKwM9,0.78125,0.32404483,0.45648356,1.4087049622115557 : 1,2017-06-29 12:19:27,72161,P2PKH
125UbrP5dh4JdrPJyUXB3yFX9ceDFJ198o,1D1wVwX2b2EqawwnbkPeAx14UM1CnGibnm,164Fdh2frvcJkHdzDCBt4kqMfPY9h6yd4F,3.62628915,1.10350915,2.52198466,2.285422517792444 : 1,2017-06-14 17:22:26,79534,P2PKH
12ca8DNoxivQiS4XicM2GDP6KHLqHtLGhp,1ByhZFFLmWVfP8JzjmUXsNeMGWLYbkqtsx,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1.1189591,0.35602397,0.76221272,2.1409028161783596 : 1,2017-06-30 10:44:11,72241,P2PKH
19gPghRYfwHBAXqPC4LdiqSoJiuuNCKvJP,1MpKejmwFAUL4f76EghwkLH39KctAugcRu,1BnvDdPNtX1rfKnqMjeCc44oiBqWDKaQMC,0.989,0.17616797,0.81249289,4.612035263845068 : 1,2017-09-12 15:38:33,33914,P2PKH
1HxXzcqDvifwS216KgBReCC41isZZoD7bE,1KeGYAMrmjs7EVP9equx8XdFxNFUcYQBSa,14qXJ1exPoowJgSXFkxonJJ1jMJfjSrX75,84.48345001,84.47277201,0.01,8447.277200999999 : 1,2017-09-01 09:45:04,67800,P2PKH
1BNW8NoaUo1CbqLAUvZU4nozREjaoV23vS,1CRLhYSnXYuCDakx78CfKnere8NAksbZqR,1HrveLHeQZhgtAW5mqdmiNZjQFFxqTzLwn,84.65349985,84.64518055,0.0076413,11077.327228351198 : 1,2017-08-31 16:04:48,67800,P2PKH
1Pc5Sy5CxwVzkmn4xDRcPmriBGog8gyC1x,1Hsj9oZniX4LikLTaTWKmc8Bm63tcnxcQY,1HmYjf2m76GmXXpQ4FuTpis3kbgfwp3cyR,3.92643433,0.64167577,3.28409407,5.1179960714427475 : 1,2017-07-05 14:33:34,66449,P2PKH
12L371NEwKBQUzBkur1h51t9KYBbcKky6y,1tPgThkWQoQXjj4Swc8njBh3Jh2fuPN1p,1LscR6Wqon7j9UnFvik6ZN2EdnunezxBQP,159.75223982,155.39522222,4.3563396,35.67105333569495 : 1,2017-07-16 11:37:17,67800,P2PKH
1Mpymwp78t99Sowd8btmXDpdy2daWPcZzp,1A9Jz6eu3JBS5sEencZhfDhKXBVzEAoPh4,19WEnH4n7st3dGAjkJ5pdYUUwBntaCd5L2,3.89492648,1.82724407,2.06695673,1.131188090269736 : 1,2017-07-08 00:58:20,72568,P2PKH
1FdBWSw42seqoh9sRy2pse46oWQjYSmRav,1LnCCwQBSvw5PQquT9ijPTrDGYD9orXZC3,16R331VBtfvCH3EJ62E2cdyQ8pYPmhy2jk,1.76489276,0.70386522,1.06061899,1.5068495499749228 : 1,2017-07-26 10:40:42,40855,P2PKH
12oniCXwcg2dQLBMcWUdk9yB4uMTTSBZ3E,12U9h3rSGkEeRmCb3mshRJKJfAsfyd7xfb,1LhNMzSx76t3C6YA5ai8nSwbi5eerPdcB7,4.29186392,1.42618661,2.86507581,2.008906681573739 : 1,2017-07-14 11:25:34,60150,P2PKH
14od7QS135vt4cgSsUHb9aextF8nya2Mwv,115KXe5saJ1nUjAtcqJw5fHyLAqzNJDzFi,1EfXN6ZftJBzaFfNeJtkam2vBPyrGqBmPJ,4.1,0.13054241,3.9687958,30.402348171755065 : 1,2017-07-11 00:32:38,66179,P2PKH
